Template Server IBM IMM SNMPv1	Hosts	Applications 7	Items 14	Triggers 9	Graphs	Screens	Discovery 6	Web	Template Module Generic SNMPv1		
Template Server IBM IMM SNMPv2	Hosts	Applications 7	Items 14	Triggers 9	Graphs	Screens	Discovery 6	Web	Template Module Generic SNMPv2		
Template Server Intel SR1530 IPMI	Hosts	Applications 3	Items 8	Triggers 11	Graphs 2	Screens	Discovery	Web			
Template Server Intel SR1630 IPMI	Hosts	Applications 3	Items 11	Triggers 21	Graphs 2	Screens	Discovery	Web			
Template Server Supermicro Aten SNMPv2	Hosts	Applications 4	Items 11	Triggers 5	Graphs	Screens	Discovery 2	Web	Template Module Generic SNMPv2		
Template Service Chronyd	Hosts 4	Applications 1	Items 15	Triggers 1	Graphs	Screens	Discovery	Web			
Template Sikt Driftsmeldinger	Hosts 1	Applications	Items 1	Triggers 1	Graphs	Screens	Discovery	Web			
Template SNMPv1 UPS Powerware 9355	Hosts 1	Applications 5	Items 38	Triggers 14	Graphs 7	Screens	Discovery	Web			
Template SNMPv2 ISO UPS	Hosts 1	Applications 1	Items 12	Triggers 6	Graphs	Screens	Discovery	Web			
Template SSL Certificate Check	Hosts 7	Applications 1	Items 4	Triggers 4	Graphs	Screens	Discovery	Web 1		Template Generic Webtest - HTTPS	
Template SSL certificate copy check	Hosts 84	Applications 1	Items 2	Triggers 2	Graphs	Screens	Discovery	Web			
Template SSL certificate copy check-OLDER VERSION--DONT USE	Hosts	Applications	Items	Triggers	Graphs	Screens	Discovery	Web			
Template syslog-ng	Hosts	Applications 2	Items 3	Triggers 3	Graphs	Screens	Discovery	Web			
Template Teamviewer driftsmeldinger	Hosts 1	Applications	Items 1	Triggers 1	Graphs	Screens	Discovery	Web			
Template VM VMware	Hosts	Applications 3	Items 3	Triggers	Graphs	Screens	Discovery 3	Web			
Template VM VMware Guest	Hosts 2	Applications 8	Items 19	Triggers	Graphs	Screens	Discovery 3	Web			
Template VM VMware Hypervisor	Hosts	Applications 6	Items 21	Triggers	Graphs	Screens	Discovery 1	Web			
Template Zoom driftsmeldinger	Hosts 1	Applications	Items 1	Triggers 1	Graphs	Screens	Discovery	Web			
vCenter_SNMP-VMWARE_VCSA_6.7	Hosts	Applications 4	Items 6	Triggers 4	Graphs	Screens	Discovery 4	Web			
Vertiv Geist SNMP environmental probe	Hosts 22	Applications 3	Items 14	Triggers 5	Graphs	Screens	Discovery	Web	Template Module Generic SNMPv2		
